Hazard Type,Date & Time,District,Latitude,Longitude,Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Attribute 9,Source,Magnitude,Depth (km),Intensity,Seismic Wave Data,Aftershocks,Casualties & Injuries,Infrastructure Damage,Response & Recovery Measures
Landslide,2022-11-20 15:50:08,Gilgit,36.5337,74.8254,Debris Flow,Glacier Melting,57.3,Valley,Rocky,162.6,4325.7,4.22,Geological Survey Report,,,,,,,,,
Landslide,2020-06-20 15:42:38,Gilgit,36.9657,74.527,Rockfall,Glacier Melting,32.9,Mountainous,Silt,85.5,104.9,4.53,Geological Survey Report,,,,,,,,,
Landslide,2022-04-05 12:36:38,Gilgit,36.5488,74.2168,Mudslide,Glacier Melting,40.1,Hilly,Rocky,61.3,219.1,6.81,Geological Survey Report,,,,,,,,,
Landslide,2013-02-16 03:39:41,Gilgit,36.3248,76.1145,Rockfall,Earthquake,51.6,Valley,Silt,13.3,3815.7,4.64,Geological Survey Report,,,,,,,,,
Landslide,2022-05-08 13:04:46,Gilgit,35.0176,75.4737,Debris Flow,Earthquake,37.2,Mountainous,Rocky,33.5,566.5,6.39,Geological Survey Report,,,,,,,,,
Landslide,2014-12-12 19:13:31,Gilgit,36.5726,76.527,Debris Flow,Glacier Melting,71.5,Hilly,Rocky,96.5,2630.3,1.53,Geological Survey Report,,,,,,,,,
Landslide,2019-12-04 04:17:31,Gilgit,35.923,76.2289,Debris Flow,Glacier Melting,53.5,Mountainous,Clay,182.4,3370.4,8.59,Geological Survey Report,,,,,,,,,
Landslide,2016-03-10 18:15:19,Gilgit,36.5021,76.1999,Rockfall,Glacier Melting,64.2,Mountainous,Clay,96.7,1149.1,5.13,Geological Survey Report,,,,,,,,,
Landslide,2015-06-13 16:16:05,Gilgit,36.1303,75.3098,Rockfall,Heavy Rainfall,64.6,Hilly,Silt,155.4,1244.6,8.29,Geological Survey Report,,,,,,,,,
Landslide,2019-12-24 10:17:45,Gilgit,35.6481,75.4249,Mudslide,Glacier Melting,74.9,Mountainous,Clay,40.8,591.6,5.61,Geological Survey Report,,,,,,,,,
Landslide,2019-10-08 02:08:37,Gilgit,35.0571,75.2276,Mudslide,Earthquake,59.9,Valley,Clay,111.2,3097.6,7.85,Geological Survey Report,,,,,,,,,
Landslide,2016-06-22 20:11:18,Gilgit,36.5822,74.4876,Rockfall,Earthquake,24.8,Hilly,Sand,186.1,3354.7,7.56,Geological Survey Report,,,,,,,,,
Landslide,2018-11-10 23:06:23,Gilgit,35.6864,74.2188,Rockfall,Glacier Melting,30.9,Valley,Rocky,135.1,1044.2,8.81,Geological Survey Report,,,,,,,,,
Landslide,2019-10-10 03:15:24,Gilgit,35.3591,76.3016,Mudslide,Earthquake,32.8,Mountainous,Silt,66.3,2938.0,9.83,Geological Survey Report,,,,,,,,,
Landslide,2021-09-08 02:45:40,Gilgit,35.101,76.4325,Debris Flow,Glacier Melting,31.1,Mountainous,Silt,47.8,2590.5,3.02,Geological Survey Report,,,,,,,,,
Landslide,2019-08-28 14:11:06,Gilgit,36.7198,74.8967,Rockfall,Earthquake,37.6,Valley,Silt,106.8,4059.5,3.88,Geological Survey Report,,,,,,,,,
Landslide,2015-01-03 18:52:54,Gilgit,35.1237,76.0691,Debris Flow,Earthquake,62.3,Mountainous,Clay,162.2,2904.9,2.82,Geological Survey Report,,,,,,,,,
Landslide,2013-03-31 17:59:19,Gilgit,36.2138,76.6599,Rockfall,Heavy Rainfall,28.6,Valley,Silt,56.7,3674.1,0.66,Geological Survey Report,,,,,,,,,
Landslide,2018-07-09 01:05:40,Gilgit,36.9777,76.9951,Rockfall,Heavy Rainfall,26.9,Mountainous,Rocky,47.1,1720.2,7.12,Geological Survey Report,,,,,,,,,
Landslide,2014-09-26 21:17:57,Gilgit,35.452,74.2534,Debris Flow,Glacier Melting,60.7,Valley,Clay,186.3,2899.7,2.75,Geological Survey Report,,,,,,,,,
Landslide,2013-04-27 19:32:53,Gilgit,36.7396,74.5261,Mudslide,Heavy Rainfall,29.6,Mountainous,Rocky,134.9,3555.0,6.2,Geological Survey Report,,,,,,,,,
Landslide,2017-08-09 19:54:08,Gilgit,35.9123,74.0874,Rockfall,Heavy Rainfall,32.0,Mountainous,Sand,146.3,1015.9,7.63,Geological Survey Report,,,,,,,,,
Landslide,2017-11-18 09:09:57,Gilgit,35.8181,75.9856,Debris Flow,Glacier Melting,56.2,Mountainous,Silt,91.2,2212.4,3.39,Geological Survey Report,,,,,,,,,
Landslide,2014-05-09 05:45:59,Gilgit,35.0823,75.8743,Debris Flow,Earthquake,77.1,Hilly,Sand,69.0,3480.6,7.1,Geological Survey Report,,,,,,,,,
Landslide,2016-08-25 12:30:59,Gilgit,36.8518,74.8753,Rockfall,Glacier Melting,47.5,Valley,Silt,105.9,2026.7,9.66,Geological Survey Report,,,,,,,,,
Landslide,2018-07-20 23:35:04,Gilgit,35.8378,74.0266,Rockfall,Glacier Melting,50.9,Valley,Sand,172.5,3872.0,5.23,Geological Survey Report,,,,,,,,,
Landslide,2015-12-08 05:24:11,Gilgit,35.7509,76.5178,Debris Flow,Heavy Rainfall,59.2,Hilly,Silt,190.5,3727.7,5.16,Geological Survey Report,,,,,,,,,
Landslide,2022-10-07 15:47:39,Gilgit,36.419,74.3739,Rockfall,Glacier Melting,77.6,Hilly,Silt,166.7,3849.4,6.65,Geological Survey Report,,,,,,,,,
Landslide,2019-01-19 11:27:08,Gilgit,35.1923,74.1507,Rockfall,Earthquake,70.0,Mountainous,Sand,78.5,426.1,3.49,Geological Survey Report,,,,,,,,,
Landslide,2021-01-05 21:52:39,Gilgit,35.5267,75.5115,Debris Flow,Earthquake,69.4,Hilly,Sand,190.6,984.4,8.03,Geological Survey Report,,,,,,,,,
Landslide,2020-08-28 03:28:51,Gilgit,35.9289,76.3056,Rockfall,Heavy Rainfall,54.1,Valley,Rocky,109.3,4714.4,7.59,Geological Survey Report,,,,,,,,,
Landslide,2014-01-01 23:23:28,Gilgit,35.8999,76.2785,Mudslide,Glacier Melting,79.7,Mountainous,Sand,92.5,911.7,6.88,Geological Survey Report,,,,,,,,,
Landslide,2018-10-26 17:16:38,Gilgit,36.6606,74.264,Rockfall,Heavy Rainfall,51.4,Mountainous,Clay,175.4,189.9,1.24,Geological Survey Report,,,,,,,,,
Landslide,2019-05-24 05:41:42,Gilgit,35.072,74.7682,Mudslide,Heavy Rainfall,58.6,Mountainous,Silt,173.4,3678.8,7.04,Geological Survey Report,,,,,,,,,
Landslide,2019-02-13 04:39:36,Gilgit,36.8402,76.4919,Debris Flow,Earthquake,68.9,Valley,Silt,153.3,2544.3,3.42,Geological Survey Report,,,,,,,,,
Landslide,2014-07-23 21:30:20,Gilgit,35.1932,74.2229,Rockfall,Heavy Rainfall,35.2,Mountainous,Clay,62.2,3081.5,3.46,Geological Survey Report,,,,,,,,,
Landslide,2013-09-07 21:21:10,Gilgit,35.4494,76.3303,Rockfall,Earthquake,20.5,Valley,Silt,126.0,3866.0,0.17,Geological Survey Report,,,,,,,,,
Landslide,2013-11-07 01:19:27,Gilgit,36.153,76.8085,Debris Flow,Glacier Melting,40.8,Valley,Clay,73.3,4036.9,5.08,Geological Survey Report,,,,,,,,,
Landslide,2021-05-12 05:34:22,Gilgit,36.2017,75.3332,Rockfall,Earthquake,69.3,Mountainous,Clay,174.9,3786.6,2.48,Geological Survey Report,,,,,,,,,
Landslide,2017-10-20 09:10:08,Gilgit,36.0635,75.4112,Rockfall,Glacier Melting,43.9,Valley,Sand,29.2,4603.6,6.81,Geological Survey Report,,,,,,,,,
Landslide,2016-01-17 11:53:40,Gilgit,36.3431,75.7834,Rockfall,Earthquake,62.4,Valley,Silt,156.3,750.2,4.76,Geological Survey Report,,,,,,,,,
Landslide,2016-12-29 21:06:24,Gilgit,36.4731,76.9892,Debris Flow,Heavy Rainfall,21.8,Mountainous,Clay,129.1,1991.1,5.69,Geological Survey Report,,,,,,,,,
Landslide,2016-06-06 22:08:21,Gilgit,35.1315,74.6722,Rockfall,Heavy Rainfall,45.7,Valley,Silt,138.0,180.0,0.17,Geological Survey Report,,,,,,,,,
Landslide,2017-05-17 20:25:19,Gilgit,35.6787,74.891,Rockfall,Glacier Melting,73.7,Mountainous,Sand,65.2,3364.2,0.41,Geological Survey Report,,,,,,,,,
Landslide,2018-02-03 03:54:53,Gilgit,36.7494,76.3908,Rockfall,Heavy Rainfall,46.7,Valley,Sand,89.2,3841.2,3.01,Geological Survey Report,,,,,,,,,
Landslide,2015-07-01 07:05:47,Gilgit,36.7794,76.4686,Rockfall,Glacier Melting,54.4,Mountainous,Silt,134.7,968.8,1.35,Geological Survey Report,,,,,,,,,
Landslide,2020-04-18 11:10:38,Gilgit,36.9067,76.0009,Rockfall,Heavy Rainfall,30.6,Valley,Rocky,53.3,1107.4,9.87,Geological Survey Report,,,,,,,,,
Landslide,2013-03-21 19:51:52,Gilgit,35.3447,76.9183,Rockfall,Earthquake,24.0,Mountainous,Rocky,198.7,3189.4,9.63,Geological Survey Report,,,,,,,,,
Landslide,2016-07-21 19:07:40,Gilgit,35.8618,76.9126,Rockfall,Glacier Melting,29.4,Mountainous,Clay,37.7,4502.7,4.29,Geological Survey Report,,,,,,,,,
Landslide,2020-08-20 22:56:06,Gilgit,36.8062,76.9035,Mudslide,Earthquake,77.9,Mountainous,Rocky,140.5,2575.9,7.27,Geological Survey Report,,,,,,,,,
Landslide,2015-09-15 01:40:49,Gilgit,35.079,75.0441,Debris Flow,Earthquake,48.0,Hilly,Silt,187.6,3552.7,2.65,Geological Survey Report,,,,,,,,,
Landslide,2022-03-20 03:35:17,Gilgit,36.7564,75.7771,Mudslide,Heavy Rainfall,27.5,Mountainous,Clay,156.6,2393.0,2.56,Geological Survey Report,,,,,,,,,
Landslide,2015-07-15 08:01:25,Gilgit,36.0862,75.8922,Rockfall,Glacier Melting,59.9,Hilly,Rocky,75.7,3254.3,5.4,Geological Survey Report,,,,,,,,,
Landslide,2014-07-22 21:21:17,Gilgit,36.9002,74.7644,Mudslide,Heavy Rainfall,54.1,Hilly,Silt,51.7,547.5,6.69,Geological Survey Report,,,,,,,,,
Landslide,2015-02-18 00:23:10,Gilgit,35.6483,76.2026,Debris Flow,Glacier Melting,73.3,Valley,Silt,191.7,2914.7,5.89,Geological Survey Report,,,,,,,,,
Landslide,2022-06-05 23:30:52,Ghizer,36.5051,75.3889,Mudslide,Heavy Rainfall,42.2,Valley,Clay,38.3,4811.7,4.36,Geological Survey Report,,,,,,,,,
Landslide,2016-03-03 06:58:27,Ghizer,36.0607,76.1991,Mudslide,Earthquake,30.7,Hilly,Rocky,194.0,3980.7,6.38,Geological Survey Report,,,,,,,,,
Landslide,2014-12-05 09:40:24,Ghizer,35.5744,76.0308,Rockfall,Earthquake,36.8,Valley,Clay,183.4,1423.4,6.82,Geological Survey Report,,,,,,,,,
Landslide,2021-01-20 11:25:21,Ghizer,35.8548,76.1134,Mudslide,Earthquake,74.9,Valley,Rocky,116.0,2340.4,5.65,Geological Survey Report,,,,,,,,,
Landslide,2015-10-31 01:33:02,Ghizer,36.0143,75.9589,Rockfall,Heavy Rainfall,46.6,Valley,Sand,187.3,3894.6,6.54,Geological Survey Report,,,,,,,,,
Landslide,2013-06-30 16:26:29,Ghizer,35.3845,74.1023,Debris Flow,Heavy Rainfall,61.7,Mountainous,Silt,91.1,1551.0,0.45,Geological Survey Report,,,,,,,,,
Landslide,2022-10-23 12:54:06,Ghizer,36.9623,74.647,Mudslide,Glacier Melting,69.4,Mountainous,Sand,44.9,4108.1,7.41,Geological Survey Report,,,,,,,,,
Landslide,2022-06-08 04:33:45,Ghizer,36.6936,75.2921,Rockfall,Heavy Rainfall,63.2,Valley,Rocky,87.0,2902.6,3.47,Geological Survey Report,,,,,,,,,
Landslide,2018-01-03 18:31:00,Ghizer,36.3365,75.3444,Mudslide,Glacier Melting,54.9,Hilly,Clay,150.7,1565.8,7.67,Geological Survey Report,,,,,,,,,
Landslide,2019-12-24 15:36:56,Ghizer,35.9734,74.1064,Rockfall,Heavy Rainfall,64.6,Valley,Rocky,28.8,1282.2,3.51,Geological Survey Report,,,,,,,,,
Landslide,2015-08-21 21:06:47,Ghizer,36.9026,76.4481,Debris Flow,Glacier Melting,22.8,Valley,Sand,23.5,3803.6,9.07,Geological Survey Report,,,,,,,,,
Landslide,2019-10-06 04:01:55,Ghizer,36.3911,74.6544,Rockfall,Earthquake,44.5,Valley,Rocky,119.0,4265.1,9.12,Geological Survey Report,,,,,,,,,
Landslide,2018-12-11 21:54:33,Ghizer,36.5226,74.9295,Mudslide,Glacier Melting,73.0,Mountainous,Silt,12.0,2598.2,2.52,Geological Survey Report,,,,,,,,,
Landslide,2013-07-29 09:49:54,Ghizer,36.5319,75.3435,Debris Flow,Heavy Rainfall,57.8,Hilly,Rocky,149.8,3124.0,2.64,Geological Survey Report,,,,,,,,,
Landslide,2014-05-07 14:34:42,Ghizer,35.1957,75.8796,Mudslide,Earthquake,54.7,Valley,Clay,83.7,1277.3,9.27,Geological Survey Report,,,,,,,,,
Landslide,2021-01-17 17:28:15,Ghizer,36.4755,74.6966,Rockfall,Earthquake,52.4,Mountainous,Rocky,109.5,1870.2,4.62,Geological Survey Report,,,,,,,,,
Landslide,2015-01-18 01:18:38,Ghizer,36.548,76.0449,Rockfall,Earthquake,25.7,Valley,Silt,60.4,4129.4,4.6,Geological Survey Report,,,,,,,,,
Landslide,2013-06-20 10:36:01,Ghizer,35.5704,75.0266,Debris Flow,Glacier Melting,71.1,Valley,Clay,127.8,250.7,0.78,Geological Survey Report,,,,,,,,,
Landslide,2022-02-21 12:16:51,Ghizer,35.1712,76.6917,Rockfall,Heavy Rainfall,22.3,Mountainous,Silt,26.6,1448.2,3.78,Geological Survey Report,,,,,,,,,
Landslide,2022-06-15 20:19:05,Ghizer,36.1056,75.0584,Debris Flow,Glacier Melting,32.9,Hilly,Clay,159.2,3005.0,4.39,Geological Survey Report,,,,,,,,,
Landslide,2017-05-17 23:34:51,Ghizer,36.6198,75.3347,Debris Flow,Earthquake,66.6,Mountainous,Clay,96.8,3329.7,3.38,Geological Survey Report,,,,,,,,,
